"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"66"	"Negative Regulation of Cell Differentiation (GO:0045596)"	"66"	0.00224341393350571	0.0296402568184391	0	0	7.9001262994268	48.1888467132376	"ASXL1;CDK6;PTEN;FBXO11"
"67"	"Regulation of Canonical Wnt Signaling Pathway (GO:0060828)"	"67"	0.00235462100829714	0.0306452167050016	0	0	7.79221774966456	47.1536355429894	"APC;USP34;NFKB1;WLS"
"68"	"Cellular Response to Insulin Stimulus (GO:0032869)"	"68"	0.00243092567820376	0.031153731245364	0	0	12.1684523809524	73.2477941494646	"APC;AKT3;GRB10"
"69"	"Positive Regulation of Cell Growth (GO:0030307)"	"69"	0.00249539382934197	0.031153731245364	0	0	12.0530660377358	72.2377457240655	"CDC42;BCL11A;RICTOR"
"70"	"Negative Regulation of Mitotic Cell Cycle (GO:0045930)"	"70"	0.0025008729210728	0.031153731245364	0	0	29.9125364431487	179.209458922863	"CDKN1B;CTNNB1"
"71"	"Positive Regulation of Vasculature Development (GO:1904018)"	"71"	0.00256091315420085	0.031452341837509	0	0	11.9398364485981	71.2496771405828	"ITGB8;HMGA2;PIK3CD"
"72"	"Regulation of Androgen Receptor Signaling Pathway (GO:0060765)"	"72"	0.00266912736572494	0.031883274834413	0	0	28.8796622097115	171.140984800685	"NCOR1;FOXP1"
"73"	"Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079)"	"73"	0.00266912736572494	0.031883274834413	0	0	28.8796622097115	171.140984800685	"CDKN1B;APC"
"74"	"Regulation of Cell Population Proliferation (GO:0042127)"	"74"	0.00284392666688404	0.0335122169394984	0	0	4.09741950757576	24.021406849245	"NPM1;CDKN1B;CDK6;APC;PTEN;CTNNB1;TP53"
"75"	"Endodermal Cell Differentiation (GO:0035987)"	"75"	0.00302119352141323	0.0351264100089645	0	0	27.0138248847926	156.737003047323	"BRD3;HMGA2"
