go_id	original_term	simplified_term	group	theme	traits	best_adjp	genes
GO:0060412	Ventricular Septum Morphogenesis	Cardiac septum/chamber development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.00379104529001986	ADAMTS19;SLIT3;SOX4;TGFB2
GO:0003176	Aortic Valve Development	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	5.50375017329612e-05	ADAMTS19;ADAMTS5;BMP2;JAG1;NFATC1;SLIT3;SMAD6;SNAI2;SOX9
GO:0003180	Aortic Valve Morphogenesis	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.000496896301822962	ADAMTS19;ADAMTS5;JAG1;NFATC1;SLIT3;SMAD6;SNAI2;SOX9
GO:0003171	Atrioventricular Valve Development	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.00360815548395143	BMP2;SLIT3;TGFB2
GO:0003181	Atrioventricular Valve Morphogenesis	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	5.03883069397161e-06	ADAMTS19;BMP2;SLIT3;SMAD6;SOX4;TGFB2
GO:0003174	Mitral Valve Development	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.00174625642158492	ADAMTS19;SMAD6;SOX4
GO:0003183	Mitral Valve Morphogenesis	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	trunk	0.00298374415954639	ADAMTS19;SMAD6;SOX4
GO:0003177	Pulmonary Valve Development	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.00151061891488852	ADAMTS19;ADAMTS5;JAG1;NFATC1;SMAD6;TGFB2
GO:0003184	Pulmonary Valve Morphogenesis	Cardiac valve development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	0.00108727442768804	ADAMTS19;ADAMTS5;JAG1;NFATC1;SMAD6;TGFB2
GO:0072359	Circulatory System Development	Circulatory system development	Cardiovascular development	Cardiovascular, organ & tissue development	limb+trunk	1.28352740700121e-05	BMP2;BMP5;BMP6;ECE1;FBN1;FN1;GLI2;MEF2C;PCSK5;PTEN;SALL1;SOX4;SOX9;TGFB2
GO:0003197	Endocardial Cushion Development	Endocardial cushion / valve primordium	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.000883002159750174	ADAMTS5;BMP2;SOX9;TGFB2
GO:0003203	Endocardial Cushion Morphogenesis	Endocardial cushion / valve primordium	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.0007104629758885	ADAMTS5;BMP2;SOX9;TGFB2
GO:2001028	Positive Regulation of Endothelial Cell Chemotaxis	Endothelial cell migration	Cardiovascular development	Cardiovascular, organ & tissue development	limb	0.0403477923176573	FGF18;SMOC2
