"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"22"	"Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)"	"22"	8.35686577632239e-09	7.85545382974305e-07	0	0	3.87706560863874	72.114127448145	"MAX;PRDM6;LEF1;WWC2;FOXO3;GLI2;LOXL2;NIPBL;TRPS1;MYC;SUFU;E2F7;SOX4;SUZ12;TCF7L2;MEF2C;PTCH1;HMGA2;ESR1;BMP6;NFKBIA;SKI;SFRP4;BMP2;DAB2;BCL6;NFIC;ID4;EZH2"
"23"	"Positive Regulation of Signal Transduction (GO:0009967)"	"23"	1.0014974997123e-08	9.00476882350017e-07	0	0	6.38070980743395	117.527470318699	"TGFB2;JAG1;IRS1;WNT5A;PTEN;PRKCA;IGF1;BMP6;SKI;BMP2;ADAMTS3;DLG5;BOC;SPIN1;GRB10;GAS1;CDON"
"24"	"Negative Regulation of RNA Biosynthetic Process (GO:1902679)"	"24"	1.63061335607568e-08	1.40504517515188e-06	0	0	4.7168917318171	84.582003068266	"TCF7L2;L3MBTL3;MAX;ZBTB38;WNT5A;LEF1;HMGA1;HMGA2;RUNX2;PML;FOXO1;LOXL2;RBL2;BMP2;RYBP;BCL6;SCMH1;ID4;CTNNB1;VGLL4;WNT4;EZH2"
"25"	"Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)"	"25"	3.43606001544206e-08	2.84230884477368e-06	0	0	5.48129138067181	94.203421024831	"MEF2C;TGFB2;IRS1;INSR;WNT5A;LEF1;HMGA2;IGF1;BMP6;SFRP4;BMP2;MYC;FUBP1;SPRY2;BMPR1B;FGFR4;SLC38A2;NFE2L2"
"26"	"Heart Development (GO:0007507)"	"26"	6.04811954156674e-08	4.81058123536924e-06	0	0	7.7411040414752	128.664374249814	"MEF2C;TGFB2;INSR;PTEN;ECE1;PCSK5;BMP6;BMP5;GLI2;BMP2;NIPBL;DLC1;SOX4"
"27"	"Atrioventricular Valve Morphogenesis (GO:0003181)"	"27"	6.57874413622986e-08	5.03883069397161e-06	0	0	38.0635514018692	629.450740514347	"TGFB2;BMP2;ADAMTS19;SLIT3;SMAD6;SOX4"
"28"	"Insulin-like Growth Factor Receptor Signaling Pathway (GO:0048009)"	"28"	9.89328384816396e-08	7.24858224214662e-06	0	0	67.6810631229236	1091.61599694787	"GHR;IRS1;IGF1;PIK3R1;IGF1R"
"29"	"Collagen Fibril Organization (GO:0030199)"	"29"	1.01648397012694e-07	7.24858224214662e-06	0	0	16.6800656275636	268.578181110417	"COLGALT2;TGFB2;ADAMTS3;ADAMTS19;COL11A1;PXDN;SERPINH1;LOXL2"
"30"	"Extracellular Matrix Organization (GO:0030198)"	"30"	1.56868117366499e-07	1.08134422237974e-05	0	0	7.08714544031522	111.040405403163	"TGFB2;COLGALT2;COL27A1;COL11A1;DMP1;ADAMTS10;LOXL2;ADAMTS3;ADAMTS19;SMOC1;ADAMTS17;PXDN;SERPINH1"
"31"	"Positive Regulation of Multicellular Organismal Process (GO:0051240)"	"31"	2.08729502409893e-07	1.39242777736664e-05	0	0	4.58113558421485	70.4680659627851	"NCOA1;TCF7L2;GHSR;TGFB2;WNT5A;LEF1;PRKCA;IGF1R;LOXL2;GHR;BMP2;DAB2;MFAP2;GRB10;GNAS;CTNNB1;BMPR1B;SOX5;EZH2"
"32"	"Positive Regulation of Ossification (GO:0045778)"	"32"	3.34852685800778e-07	2.13172344864865e-05	0	0	18.570813771518	276.882943443532	"MEF2C;BMP2;PKDCC;WNT5A;BMPR1B;BMP6;WNT4"
"33"	"Regulation of Chondrocyte Differentiation (GO:0032330)"	"33"	3.40168635422657e-07	2.13172344864865e-05	0	0	27.1802403204272	404.81772527978	"PKDCC;EFEMP1;TRPS1;BMPR1B;LOXL2;SOX5"
"34"	"Regulation of Aldosterone Biosynthetic Process (GO:0032347)"	"34"	4.32089698630292e-07	2.62812204931601e-05	0	0	125.777777777778	1843.22712692181	"BMP2;BMP6;BMP5;WNT4"
"35"	"Positive Regulation of Intracellular Signal Transduction (GO:1902533)"	"35"	5.50756979928996e-07	3.25418695569475e-05	0	0	3.55806393353802	51.2787184171483	"TCF7L2;MEF2C;TGFB2;IRS1;RYK;INSR;WNT5A;LPAR1;PTEN;PRKCA;PIK3R1;IGF1;PTPN14;BMP6;BMP5;IGF1R;GHR;BMP2;DAB2;DLG5;FGF18;ABL1;SPRY2;WNT4"
"36"	"Regulation of Fibroblast Proliferation (GO:0048145)"	"36"	6.30285713700742e-07	3.62064126648093e-05	0	0	16.7104460093897	238.576585172918	"SKI;CDK6;MYC;WNT5A;CTNNB1;PEX2;IGF1"
"37"	"Cellular Response to Growth Factor Stimulus (GO:0071363)"	"37"	6.52353239363929e-07	3.64612567298542e-05	0	0	7.66376372586142	109.152531611403	"MEF2C;BMP2;WNT5A;PDE3A;GAS1;CTNNB1;SPRY2;BMPR1B;BMP6;SOX5;WNT4"
"38"	"Positive Regulation of Gene Expression (GO:0010628)"	"38"	7.61925781488782e-07	4.14648030557579e-05	0	0	4.38367555967419	61.7546642237183	"MEF2C;WNT5A;LEF1;SAMD4A;HMGA2;PIK3R1;IGF1;BMP6;SFRP4;BMP2;MYC;FUBP1;SPRY2;EIF3E;BMPR1B;FGFR4;SLC38A2;NFE2L2"
"39"	"Regulation of Epithelial Cell Proliferation (GO:0050678)"	"39"	8.90065301027145e-07	4.71962831416445e-05	0	0	9.94868442555973	138.604782954507	"TCF7L2;TGFB2;CDK6;MYC;FGF18;PEX2;IGF1;BMP6;BMP5"
"40"	"Positive Regulation of Cartilage Development (GO:0061036)"	"40"	1.015747298044e-06	5.25141353088748e-05	0	0	36.432915921288	502.770084982088	"BMP2;PKDCC;BMPR1B;LOXL2;SOX5"
"41"	"Positive Regulation of Apoptotic Process (GO:0043065)"	"41"	1.16990966027585e-06	5.90091018890356e-05	0	0	5.03349482124958	68.7504119583349	"TGFB2;IGFBP3;WNT5A;FOXO3;FOXO1;SFRP4;BMP2;RYBP;LATS2;BCL6;DLC1;KCNMA1;ABL1;CTNNB1;SOX4"
"42"	"Insulin Receptor Signaling Pathway (GO:0008286)"	"42"	1.46315761331034e-06	7.20430939125188e-05	0	0	14.5265360277608	195.162758020391	"IRS1;INSR;GRB10;PIK3R1;IGF1;FOXO1;IGF1R"
"43"	"Negative Regulation of Apoptotic Process (GO:0043066)"	"43"	1.72485271189437e-06	8.09148350356681e-05	0	0	3.94399073813323	52.3382120156032	"MEF2C;WNT5A;LEF1;ANXA5;HMGA2;PRKCA;PIK3R1;IGF1;SMAD6;FOXO1;IGF1R;SOCS2;DAB2;CCND2;GRK5;MYC;SPRY2;CTNNB1;NFE2L2"
"44"	"Glucose Homeostasis (GO:0042593)"	"44"	1.75204883096674e-06	8.09148350356681e-05	0	0	9.10730855574956	120.714867612341	"TCF7L2;IRS1;INSR;GNAS;NUCKS1;PIK3R1;FGFR4;SOX4;FOXO1"
"45"	"Embryonic Digestive Tract Development (GO:0048566)"	"45"	1.80628074791617e-06	8.09148350356681e-05	0	0	31.5720930232558	417.516956347725	"TGFB2;NIPBL;PKDCC;PCSK5;GLI2"
"46"	"Limb Morphogenesis (GO:0035108)"	"46"	1.80628074791617e-06	8.09148350356681e-05	0	0	31.5720930232558	417.516956347725	"SKI;TGFB2;NIPBL;PTCH1;PCSK5"
"47"	"Regulation of Smoothened Signaling Pathway (GO:0008589)"	"47"	1.83897352353791e-06	8.09148350356681e-05	0	0	10.9482479784367	144.585880228043	"HHIP;SUFU;PTCH1;DLG5;BOC;ZIC1;GAS1;CDON"
"48"	"Negative Regulation of Programmed Cell Death (GO:0043069)"	"48"	2.07902674559637e-06	8.95714022894436e-05	0	0	4.26986779933648	55.8652879609142	"WNT5A;LEF1;ANXA5;HMGA2;PIK3R1;IGF1;SMAD6;FOXO1;IGF1R;SOCS2;DAB2;CCND2;GRK5;MYC;SPRY2;CTNNB1;NFE2L2"
"49"	"Circulatory System Development (GO:0072359)"	"49"	2.36595075656436e-06	9.71896536290388e-05	0	0	7.53385416666667	97.5960376091733	"MEF2C;TGFB2;BMP2;PTEN;ECE1;PCSK5;SOX4;BMP6;BMP5;GLI2"
"50"	"Chondrocyte Differentiation (GO:0002062)"	"50"	2.44384042007254e-06	9.71896536290388e-05	0	0	18.4033765450708	237.807324077934	"MEF2C;BMP2;HMGA2;BMPR1B;RUNX2;SOX5"
"51"	"Embryonic Limb Morphogenesis (GO:0030326)"	"51"	2.44384042007254e-06	9.71896536290388e-05	0	0	18.4033765450708	237.807324077934	"SKI;NIPBL;TGFB2;PTCH1;CTNNB1;ECE1"
"52"	"Negative Regulation of Osteoblast Differentiation (GO:0045668)"	"52"	2.44384042007254e-06	9.71896536290388e-05	0	0	18.4033765450708	237.807324077934	"SKI;CDK6;SUFU;PTCH1;PTEN;SMAD6"
"53"	"Positive Regulation of Protein Secretion (GO:0050714)"	"53"	3.23677243102136e-06	0.000126295195987777	0	0	10.0809334657398	127.432413468992	"TCF7L2;TGFB2;GNAS;PRKCA;IGF1;SOX4;BMP6;CD2AP"
"54"	"Positive Regulation of Bone Mineralization (GO:0030501)"	"54"	3.36918045826014e-06	0.000129027133105222	0	0	17.28632115548	217.822184884703	"MEF2C;BMP2;PKDCC;BMPR1B;BMP6;WNT4"
"55"	"Positive Regulation of MAPK Cascade (GO:0043410)"	"55"	3.43200332340733e-06	0.000129043324960116	0	0	4.32474477394264	54.4155233667439	"MEF2C;TGFB2;RYK;INSR;WNT5A;LPAR1;PRKCA;IGF1;IGF1R;GHR;BMP2;FGF18;SPRY2;FGFR4;WNT4;EZH2"
"56"	"Positive Regulation of Chondrocyte Differentiation (GO:0032332)"	"56"	3.93926932061852e-06	0.000145471588482841	0	0	53.8941798941799	670.686946461215	"PKDCC;BMPR1B;LOXL2;SOX5"
"57"	"Regulation of SMAD Protein Signal Transduction (GO:0060390)"	"57"	4.30341918261874e-06	0.000156131067888694	0	0	12.1440887750747	150.053583723329	"SKI;TGFB2;BMP2;DAB2;SMAD6;BMP6;BMP5"
"58"	"Eye Morphogenesis (GO:0048592)"	"58"	4.78245021142802e-06	0.000170519086848847	0	0	24.9204406364749	305.289292095306	"SKI;NIPBL;EFEMP1;MFAP2;SOX4"
"59"	"Heterochromatin Organization (GO:0070828)"	"59"	5.75451473843436e-06	0.000198338941318038	0	0	7.78839503010119	93.97108148267	"SUZ12;RYBP;MAX;PCGF5;SCMH1;HMGA2;SPTY2D1;LOXL2;EZH2"
"60"	"Transforming Growth Factor Beta Receptor Superfamily Signaling Pathway (GO:0141091)"	"60"	5.75451473843436e-06	0.000198338941318038	0	0	7.78839503010119	93.97108148267	"SKI;TGFB2;BMP2;DAB2;SMAD6;BMPR1B;RUNX2;BMP6;BMP5"
"61"	"Response to Ketone (GO:1901654)"	"61"	5.92627951965881e-06	0.000200910590928761	0	0	23.6732558139535	284.934004344737	"GHR;TGFB2;ABCB4;GNAS;SLIT3"
"62"	"Canonical Wnt Signaling Pathway (GO:0060070)"	"62"	6.57285558111848e-06	0.00021923653777021	0	0	11.318532664916	135.059094815638	"SFRP4;TCF7L2;RYK;WNT5A;LEF1;CTNNB1;WNT4"
"63"	"Positive Regulation of Biomineral Tissue Development (GO:0070169)"	"63"	6.97239166184568e-06	0.000228871523122173	0	0	15.008116084604	178.199650586953	"MEF2C;BMP2;PKDCC;BMPR1B;BMP6;WNT4"
"64"	"G1/S Transition of Mitotic Cell Cycle (GO:0000082)"	"64"	8.03548675741362e-06	0.000259646665848928	0	0	10.9463557300085	128.418737367142	"CCND3;CCNJ;CCND2;LATS2;CDK6;MYC;SKP2"
"65"	"Negative Regulation of Signal Transduction (GO:0009968)"	"65"	8.25071202634955e-06	0.00026249957646909	0	0	4.518067253906	52.8849307681856	"FBXW8;IRS1;HHIP;IGFBP3;PTCH1;BMP5;SOCS2;SFRP4;BMP2;SPRED1;SUFU;GRB10;SPRY2;VGLL4"
"66"	"Cell Cycle G1/S Phase Transition (GO:0044843)"	"66"	9.758529466245e-06	0.00030576725660901	0	0	10.5978090766823	122.270832195919	"CCND3;CCNJ;CCND2;LATS2;CDK6;MYC;SKP2"
"67"	"Regulation of DNA Binding (GO:0051101)"	"67"	1.06801435298962e-05	0.000329649803280975	0	0	20.582406471183	235.609364968123	"SKI;DOT1L;LEF1;HMGA2;IGF1"
"68"	"Heterochromatin Formation (GO:0031507)"	"68"	1.10511574085116e-05	0.000336085198835324	0	0	7.141200893032	81.5023500660297	"SUZ12;SMCHD1;RYBP;MAX;PCGF5;SCMH1;HMGA2;SPTY2D1;EZH2"
"69"	"Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)"	"69"	1.28474901470499e-05	0.000385052313392743	0	0	8.23128423615338	92.7037034920796	"SKI;MEF2C;TGFB2;DAB2;WNT5A;PDE3A;SOX5;WNT4"
"70"	"Cellular Response to Growth Hormone Stimulus (GO:0071378)"	"70"	1.57559016080424e-05	0.000465474350363309	0	0	34.2895622895623	379.184114338873	"GHR;SOCS2;IGF1;PIK3R1"
"71"	"Pos Reg Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051897)"	"71"	1.67114721537282e-05	0.000486751048083239	0	0	5.94268077601411	65.3660127755217	"TCF7L2;TGFB2;IRS1;RYK;INSR;WNT5A;SPRY2;PRKCA;IGF1;IGF1R"
"72"	"Intracellular Glucose Homeostasis (GO:0001678)"	"72"	1.87282577900339e-05	0.000533716754861014	0	0	12.3931328728159	134.905163624729	"GNAS;NUCKS1;PIK3R1;SOX4;FOXO1;IGF1R"
"73"	"Positive Regulation of Programmed Cell Death (GO:0043068)"	"73"	1.88400982131789e-05	0.000533716754861014	0	0	4.82077880625598	52.4477742660662	"SFRP4;BMP2;RYBP;LATS2;BCL6;IGFBP3;KCNMA1;ABL1;CTNNB1;FOXO3;FOXO1;SOX4"
