"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"221"	"Pos Reg Transmembrane Rec Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)"	"221"	0.00206817421347345	0.0193528700156701	0	0	5.97586105387106	36.9373295239508	"TGFB2;BMP2;DAB2;BMP6;BMP5"
"222"	"Skeletal System Morphogenesis (GO:0048705)"	"222"	0.00213589260120827	0.0197188656218692	0	0	8.01103230890465	49.2588013561614	"SKI;SFRP4;HHIP;COL11A1"
"223"	"Stem Cell Differentiation (GO:0048863)"	"223"	0.00213589260120827	0.0197188656218692	0	0	8.01103230890465	49.2588013561614	"MEF2C;TGFB2;HMGA2;CTNNB1"
"224"	"Peptidyl-tyrosine Phosphorylation (GO:0018108)"	"224"	0.00213589260120827	0.0197188656218692	0	0	8.01103230890465	49.2588013561614	"EFEMP1;PKDCC;FGFR4;IGF1R"
"225"	"Regulation of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0017015)"	"225"	0.00226514550185188	0.0206234616157452	0	0	4.77342338804681	29.0707035006345	"SKI;BMP2;SPRED1;LATS2;SPRY2;SMAD6"
"226"	"Regulation of Lens Fiber Cell Differentiation (GO:1902746)"	"226"	0.00230174384435473	0.0206234616157452	0	0	37.3834862385321	227.070594510461	"SPRED1;SPRY2"
"227"	"Response to Bile Acid (GO:1903412)"	"227"	0.00230174384435473	0.0206234616157452	0	0	37.3834862385321	227.070594510461	"ABCB4;FGFR4"
"228"	"Negative Regulation of Cardiocyte Differentiation (GO:1905208)"	"228"	0.00230174384435473	0.0206234616157452	0	0	37.3834862385321	227.070594510461	"BMP2;FRS2"
"229"	"Negative Regulation of Stress-Activated MAPK Cascade (GO:0032873)"	"229"	0.00230174384435473	0.0206234616157452	0	0	37.3834862385321	227.070594510461	"MYC;FOXO1"
"230"	"Positive Regulation of Multicellular Organism Growth (GO:0040018)"	"230"	0.00230174384435473	0.0206234616157452	0	0	37.3834862385321	227.070594510461	"GHR;GHSR"
"231"	"Cellular Response to Xenobiotic Stimulus (GO:0071466)"	"231"	0.00232362986289585	0.0206234616157452	0	0	12.7924172601592	77.5812099436637	"MEF2C;MYC;KCNQ1"
"232"	"Myotube Differentiation (GO:0014902)"	"232"	0.00232362986289585	0.0206234616157452	0	0	12.7924172601592	77.5812099436637	"SKI;MEF2C;IGF1"
"233"	"Negative Regulation of Hippo Signaling (GO:0035331)"	"233"	0.00232362986289585	0.0206234616157452	0	0	12.7924172601592	77.5812099436637	"DLG5;WWC2;VGLL4"
"234"	"Regulation of Insulin Receptor Signaling Pathway (GO:0046626)"	"234"	0.00246160259243197	0.0216621028134014	0	0	7.6832955404384	46.1531159111199	"FBXW8;IRS1;GRB10;NUCKS1"
"235"	"Negative Regulation of Cell Projection Organization (GO:0031345)"	"235"	0.00246160259243197	0.0216621028134014	0	0	7.6832955404384	46.1531159111199	"PTEN;LPAR1;PTPN9;SPRY2"
"236"	"Regulation of Cell Growth (GO:0001558)"	"236"	0.00251388536972088	0.0220284531550118	0	0	3.60690333541983	21.5906556132094	"SOCS2;TGFB2;CDKN2C;BCL6;SLIT3;VGLL4;PML;PAPPA2"
"237"	"Neg Reg Transmembrane Rec Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101)"	"237"	0.0025511256431225	0.0222604549788073	0	0	4.65535468055768	27.7981497154895	"SKI;BMP2;SPRED1;SPRY2;SMAD6;NBL1"
"238"	"Dopaminergic Neuron Differentiation (GO:0071542)"	"238"	0.00260618709571488	0.0225506063344701	0	0	12.2356241234222	72.8003363021326	"RYK;WNT5A;CTNNB1"
"239"	"Vascular Endothelial Cell Response to Fluid Shear Stress (GO:0097699)"	"239"	0.00260618709571488	0.0225506063344701	0	0	12.2356241234222	72.8003363021326	"ABL1;GNAS;PKN2"
"240"	"Positive Regulation of miRNA Metabolic Process (GO:2000630)"	"240"	0.00263658584546689	0.0227185813684397	0	0	7.52925925925926	44.7107776878378	"TGFB2;LIN28B;MYC;FOXO3"
"241"	"Negative Regulation of Gene Expression (GO:0010629)"	"241"	0.00274243116216315	0.0235325628354913	0	0	2.84623044096728	16.7896585383674	"RBL2;MEF2C;BMP2;TGFB2;IGF2BP3;CCDC3;IGF1;IGF2BP2;ESR1;WNT4;EZH2"
"242"	"Regulation of Cell Cycle (GO:0051726)"	"242"	0.00281272008107648	0.0240359716019263	0	0	3.0136698212408	17.7011008970418	"BMP2;TGFB2;CDK6;GRK5;MYC;CDC16;ABL1;HMGA2;PML;TTC28"
"243"	"Regulation of Mitotic Cell Cycle (GO:0007346)"	"243"	0.0028634135698111	0.0243684743307381	0	0	4.54295327102804	26.6023568670543	"CDC16;GAS1;PRKCA;PKN2;PML;TTC28"
"244"	"Dendritic Spine Organization (GO:0097061)"	"244"	0.00290906219606925	0.0246554943502919	0	0	11.7252304147465	68.4744605915352	"INSR;PTEN;IGF1R"
"245"	"Dendritic Spine Maintenance (GO:0097062)"	"245"	0.0030474340308732	0.0252083743033831	0	0	31.151376146789	180.474106604602	"INSR;IGF1R"
"246"	"Negative Regulation of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)"	"246"	0.0030474340308732	0.0252083743033831	0	0	31.151376146789	180.474106604602	"MYC;FOXO1"
"247"	"Nose Development (GO:0043584)"	"247"	0.0030474340308732	0.0252083743033831	0	0	31.151376146789	180.474106604602	"SKI;SMCHD1"
"248"	"Pericardium Development (GO:0060039)"	"248"	0.0030474340308732	0.0252083743033831	0	0	31.151376146789	180.474106604602	"BMP2;BMP5"
"249"	"Positive Regulation of Cardiac Epithelial to Mesenchymal Transition (GO:0062043)"	"249"	0.0030474340308732	0.0252083743033831	0	0	31.151376146789	180.474106604602	"TGFB2;JAG1"
"250"	"Positive Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031666)"	"250"	0.0030474340308732	0.0252083743033831	0	0	31.151376146789	180.474106604602	"PRKCA;BMP6"
"251"	"Positive Regulation of Developmental Growth (GO:0048639)"	"251"	0.00321237627253096	0.0264239480554881	0	0	7.10202655485674	40.7709187749486	"GHR;GHSR;INSR;IGF1"
"252"	"Epithelial Cell Development (GO:0002064)"	"252"	0.00323271704934163	0.0264239480554881	0	0	11.255668202765	64.5448673405887	"CDK6;BMP6;BMP5"
"253"	"Host-mediated Perturbation of Viral Transcription (GO:0043921)"	"253"	0.00323271704934163	0.0264239480554881	0	0	11.255668202765	64.5448673405887	"LEF1;HMGA2;NUCKS1"
"254"	"Epidermal Cell Differentiation (GO:0009913)"	"254"	0.0034218894368169	0.027750852373872	0	0	6.9701646090535	39.5735446006587	"JAG1;WNT5A;CTNNB1;GLI2"
"255"	"Renal System Development (GO:0072001)"	"255"	0.0034218894368169	0.027750852373872	0	0	6.9701646090535	39.5735446006587	"TGFB2;PCSK5;GLI2;WNT4"
"256"	"Negative Regulation of Protein Localization to Nucleus (GO:1900181)"	"256"	0.00357759177334074	0.0285654818041261	0	0	10.8222261609358	60.9623076725302	"NFKBIA;LATS2;SUFU"
"257"	"Negative Regulation of Signaling (GO:0023057)"	"257"	0.00357759177334074	0.0285654818041261	0	0	10.8222261609358	60.9623076725302	"SOCS2;HHIP;IGFBP3"
"258"	"Negative Regulation of Smoothened Signaling Pathway (GO:0045879)"	"258"	0.00357759177334074	0.0285654818041261	0	0	10.8222261609358	60.9623076725302	"HHIP;SUFU;PTCH1"
"259"	"Primary Neural Tube Formation (GO:0014020)"	"259"	0.00357759177334074	0.0285654818041261	0	0	10.8222261609358	60.9623076725302	"SKI;TGFB2;DLC1"
"260"	"Regulation of Myoblast Differentiation (GO:0045661)"	"260"	0.00364050733289833	0.0289560352478221	0	0	6.84309764309764	38.4283196767656	"MEF2C;IGFBP3;BOC;SOX4"
"261"	"Positive Regulation of Cell Cycle (GO:0045787)"	"261"	0.00386841480104004	0.030208924490067	0	0	6.72056878306878	37.3321578839073	"TGFB2;LEF1;PRKCA;PKN2"
"262"	"Positive Regulation of Peptide Hormone Secretion (GO:0090277)"	"262"	0.00386841480104004	0.030208924490067	0	0	6.72056878306878	37.3321578839073	"TCF7L2;GNAS;PRKCA;SOX4"
"263"	"Protein Localization to Chromosome (GO:0034502)"	"263"	0.00386841480104004	0.030208924490067	0	0	6.72056878306878	37.3321578839073	"BOD1;LEF1;SPIN1;ESR1"
"264"	"Regulation of Skeletal Muscle Contraction (GO:0014819)"	"264"	0.00389062978101759	0.030208924490067	0	0	26.699868938401	148.162491843527	"GNAS;KCNJ2"
"265"	"Sensory Organ Morphogenesis (GO:0090596)"	"265"	0.00389062978101759	0.030208924490067	0	0	26.699868938401	148.162491843527	"SKI;NIPBL"
"266"	"Subtelomeric Heterochromatin Formation (GO:0031509)"	"266"	0.00389062978101759	0.030208924490067	0	0	26.699868938401	148.162491843527	"DOT1L;EZH2"
"267"	"Cellular Response to Laminar Fluid Shear Stress (GO:0071499)"	"267"	0.00394410522839366	0.030208924490067	0	0	10.42089093702	57.6851873591516	"GNAS;PKN2;NFE2L2"
"268"	"Response to Alcohol (GO:0097305)"	"268"	0.00394410522839366	0.030208924490067	0	0	10.42089093702	57.6851873591516	"GHR;GNAS;SLIT3"
"269"	"Tube Closure (GO:0060606)"	"269"	0.00394410522839366	0.030208924490067	0	0	10.42089093702	57.6851873591516	"SKI;TGFB2;DLC1"
"270"	"Negative Regulation of Lipid Biosynthetic Process (GO:0051055)"	"270"	0.00394410522839366	0.030208924490067	0	0	10.42089093702	57.6851873591516	"BMP2;WNT4;BMP5"
"271"	"Neural Tube Closure (GO:0001843)"	"271"	0.00433265551493273	0.0329409250179444	0	0	10.0482225148124	54.6781528343236	"SKI;TGFB2;DLC1"
"272"	"Proteoglycan Metabolic Process (GO:0006029)"	"272"	0.00433265551493273	0.0329409250179444	0	0	10.0482225148124	54.6781528343236	"CHST11;IGF1;BMPR1B"
"273"	"Negative Regulation of Response to Stimulus (GO:0048585)"	"273"	0.00435282685503444	0.0329730620374037	0	0	6.48818646232439	35.2758142809243	"SOCS2;USP25;HHIP;IGFBP3"
"274"	"Hemopoiesis (GO:0030097)"	"274"	0.00458763169416469	0.0346248990639875	0	0	4.91351744186047	26.4563008554564	"TGFB2;JAG1;WNT5A;TET2;RUNX2"
"275"	"Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992)"	"275"	0.00460968993421512	0.0346648683052977	0	0	6.37790332705587	34.3105348309036	"KMT2E;CCND3;CCND2;CDC16"
"276"	"Regulation of Stress-Activated MAPK Cascade (GO:0032872)"	"276"	0.00474362046357959	0.0355400332546356	0	0	9.70125536310186	51.9109772432947	"TGFB2;MYC;FOXO1"
"277"	"Regulation of Odontoblast Differentiation (GO:1901329)"	"277"	0.00482918246835232	0.0355400332546356	0	0	23.3612385321101	124.587309297381	"BMP2;LEF1"
"278"	"Embryonic Eye Morphogenesis (GO:0048048)"	"278"	0.00482918246835232	0.0355400332546356	0	0	23.3612385321101	124.587309297381	"EFEMP1;MFAP2"
"279"	"Somite Development (GO:0061053)"	"279"	0.00482918246835232	0.0355400332546356	0	0	23.3612385321101	124.587309297381	"PTCH1;MEOX2"
"280"	"Long-term Synaptic Depression (GO:0060292)"	"280"	0.00482918246835232	0.0355400332546356	0	0	23.3612385321101	124.587309297381	"PTEN;CTNNB1"
"281"	"Positive Regulation of Cardiocyte Differentiation (GO:1905209)"	"281"	0.00482918246835232	0.0355400332546356	0	0	23.3612385321101	124.587309297381	"MEF2C;TGFB2"
"282"	"Limb Development (GO:0060173)"	"282"	0.00517735811532445	0.0376709976604101	0	0	9.37741935483871	49.357675139187	"PTCH1;SMOC1;PCSK5"
"283"	"Positive Regulation of G1/S Transition of Mitotic Cell Cycle (GO:1900087)"	"283"	0.00517735811532445	0.0376709976604101	0	0	9.37741935483871	49.357675139187	"KMT2E;CCND3;CCND2"
"284"	"Cellular Response to Peptide Hormone Stimulus (GO:0071375)"	"284"	0.00519160267563678	0.0376709976604101	0	0	4.76391825229035	25.0616058650484	"IRS1;INSR;GNAS;PIK3R1;FOXO1"
"285"	"Positive Regulation of Cellular Component Organization (GO:0051130)"	"285"	0.00519160267563678	0.0376709976604101	0	0	4.76391825229035	25.0616058650484	"TGFB2;DAB2;ABCB4;INSR;IGF1R"
"286"	"Regulation of Cell Communication (GO:0010646)"	"286"	0.00544100802157418	0.0392055909010989	0	0	6.0683990442055	31.6393639399697	"SOCS2;GRK5;GNAS;AFAP1"
"287"	"Intracellular Iron Ion Homeostasis (GO:0006879)"	"287"	0.00544100802157418	0.0392055909010989	0	0	6.0683990442055	31.6393639399697	"BMP2;MYC;CYBRD1;BMP6"
"288"	"Negative Regulation of Insulin Receptor Signaling Pathway (GO:0046627)"	"288"	0.00563420719602209	0.0403167490704972	0	0	9.07447599226996	46.9957931373193	"FBXW8;IRS1;GRB10"
"289"	"Protein Localization to Chromatin (GO:0071168)"	"289"	0.00563420719602209	0.0403167490704972	0	0	9.07447599226996	46.9957931373193	"LEF1;SPIN1;ESR1"
"290"	"Intracellular Signaling Cassette (GO:0141124)"	"290"	0.00572461317037207	0.0405367967367065	0	0	2.7092803030303	13.9879608325868	"NFKBIA;MEF2C;IRS1;MYC;PTEN;PIK3R1;SMAD6;RUNX2;IGF1R;NFE2L2"
"291"	"Regulation of miRNA Transcription (GO:1902893)"	"291"	0.00573892592458756	0.0405367967367065	0	0	5.97178130511464	30.8172771427838	"TGFB2;MYC;FOXO3;ESR1"
"292"	"Atrial Septum Morphogenesis (GO:0060413)"	"292"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"TGFB2;SOX4"
"293"	"CRD-mediated mRNA Stabilization (GO:0070934)"	"293"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"IGF2BP3;IGF2BP2"
"294"	"Response to X-ray (GO:0010165)"	"294"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"NIPBL;NUCKS1"
"295"	"Response to Laminar Fluid Shear Stress (GO:0034616)"	"295"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"SMAD6;NFE2L2"
"296"	"MiRNA Catabolic Process (GO:0010587)"	"296"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"LIN28B;PARN"
"297"	"Negative Regulation of Alcohol Biosynthetic Process (GO:1902931)"	"297"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"BMP2;BMP5"
"298"	"Negative Regulation of Cell Division (GO:0051782)"	"298"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"MYC;E2F7"
"299"	"Negative Regulation of Smooth Muscle Cell Apoptotic Process (GO:0034392)"	"299"	0.00586097786473658	0.0405367967367065	0	0	20.7645259938838	106.718010934473	"IGF1;ESR1"
"300"	"Epithelial Tube Morphogenesis (GO:0060562)"	"300"	0.00611448757701817	0.0418700672492502	0	0	8.79046658986175	44.8058372467632	"MEF2C;CTNNB1;GLI2"
"301"	"Negative Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000134)"	"301"	0.00611448757701817	0.0418700672492502	0	0	8.79046658986175	44.8058372467632	"RBL2;PTEN;E2F7"
"302"	"Negative Regulation of Cellular Response to Insulin Stimulus (GO:1900077)"	"302"	0.00611448757701817	0.0418700672492502	0	0	8.79046658986175	44.8058372467632	"FBXW8;IRS1;GRB10"
"303"	"Fat Cell Differentiation (GO:0045444)"	"303"	0.00636697622281755	0.043455138048801	0	0	5.78746438746439	29.2650695897965	"TCF7L2;HMGA2;SMAD6;FOXO1"
"304"	"Regulation of Cellular Senescence (GO:2000772)"	"304"	0.0066185007310879	0.0447289526532346	0	0	8.52366987850859	42.770807249671	"CDK6;PTEN;HMGA2"
"305"	"Negative Regulation of Cell-Matrix Adhesion (GO:0001953)"	"305"	0.0066185007310879	0.0447289526532346	0	0	8.52366987850859	42.770807249671	"JAG1;DLC1;PTEN"
"306"	"Positive Regulation of Mitotic Nuclear Division (GO:0045840)"	"306"	0.0066185007310879	0.0447289526532346	0	0	8.52366987850859	42.770807249671	"INSR;CDC16;IGF1"
"307"	"Biogenic Amine Metabolic Process (GO:0006576)"	"307"	0.00698393565974743	0.0464398036796067	0	0	18.6871559633028	92.765708354608	"SLC22A3;ODC1"
"308"	"Cardiac Muscle Cell Membrane Repolarization (GO:0099622)"	"308"	0.00698393565974743	0.0464398036796067	0	0	18.6871559633028	92.765708354608	"KCNQ1;KCNJ2"
"309"	"Regulation of Mesenchymal Cell Proliferation (GO:0010464)"	"309"	0.00698393565974743	0.0464398036796067	0	0	18.6871559633028	92.765708354608	"MYC;WNT5A"
"310"	"Negative Regulation of DNA Binding (GO:0043392)"	"310"	0.00698393565974743	0.0464398036796067	0	0	18.6871559633028	92.765708354608	"LEF1;HMGA2"
"311"	"Negative Regulation of Protein Import Into Nucleus (GO:0042308)"	"311"	0.00698393565974743	0.0464398036796067	0	0	18.6871559633028	92.765708354608	"NFKBIA;SUFU"
"312"	"Negative Regulation of Double-Strand Break Repair (GO:2000780)"	"312"	0.00714653017909647	0.04736866798196	0	0	8.27256709135267	40.8758156144614	"SMCHD1;ABL1;HMGA2"
"313"	"Proteoglycan Biosynthetic Process (GO:0030166)"	"313"	0.00739198796884881	0.0488390770593589	0	0	5.53131808278867	27.1441612093308	"CHST11;ST3GAL6;IGF1;BMPR1B"
