"Term"	"Rank"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"35"	"Regulation of Cell Migration (GO:0030334)"	"35"	1.87796562274076e-05	0.000741648539694313	0	0	4.20804742987842	45.7950708943072	"FBN2;CLIC4;SERPINE2;INSR;LEF1;PIK3CD;IGF1R;BMP2;SMO;GNA12;FGF18;ENPP2;SNAI2;EZH2"
"36"	"Cellular Response to Growth Factor Stimulus (GO:0071363)"	"36"	1.91515930960481e-05	0.000741648539694313	0	0	7.72782641796726	83.9483416936994	"MEF2C;BMP2;SMAD3;SNAI2;GAS1;SOX9;NR3C1;BMP6"
"37"	"Positive Regulation of Cell Differentiation (GO:0045597)"	"37"	1.98387660063371e-05	0.000741648539694313	0	0	5.25351344946084	56.8843746236841	"FBN2;MEF2C;BMP2;TGFB2;SMAD3;BAMBI;LEF1;BOC;SOX9;BMP6;EZH2"
"38"	"Regulation of Epithelial Cell Migration (GO:0010632)"	"38"	1.99876911406978e-05	0.000741648539694313	0	0	17.323824078791	187.450600678524	"DOCK5;TGFB2;ENPP2;SOX9;PTPRG"
"39"	"Negative Regulation of RNA Biosynthetic Process (GO:1902679)"	"39"	2.3032421707356e-05	0.000832710630958256	0	0	4.12679009064871	44.0683724184511	"ZBTB38;DNMT3A;LEF1;HMGA2;NR3C1;POU3F3;BMP2;RYBP;SALL1;BCL6;SCMH1;ID4;SOX9;EZH2"
"40"	"Endocardial Cushion Development (GO:0003197)"	"40"	2.50497066595794e-05	0.000883002159750174	0	0	28.2880886426593	299.702354228288	"ADAMTS5;TGFB2;BMP2;SOX9"
"41"	"Eye Morphogenesis (GO:0048592)"	"41"	2.98829264872533e-05	0.0010276811304153	0	0	26.8723684210526	279.962333766541	"FBN2;EFEMP1;MFAP2;FBN1"
"42"	"Negative Regulation of miRNA Transcription (GO:1902894)"	"42"	4.15503324184657e-05	0.00139490401690563	0	0	24.427033492823	246.434693116351	"SMAD3;SOX9;ESR1;NFATC4"
"43"	"Regulation of Epithelial to Mesenchymal Transition (GO:0010717)"	"43"	4.8882286472477e-05	0.00160288427735332	0	0	10.1815	101.062540996597	"TGFB2;BMP2;SMAD3;BAMBI;LEF1;EZH2"
"44"	"Negative Regulation of Cell Differentiation (GO:0045596)"	"44"	5.23274930056783e-05	0.00167685829859105	0	0	5.78743086019455	57.052427710056	"BMP2;EFEMP1;SMAD3;CDK6;BAMBI;PTCH1;CRIM1;SNAI2;SOX9"
"45"	"Positive Regulation of miRNA Metabolic Process (GO:2000630)"	"45"	5.47658879293714e-05	0.00171599782178697	0	0	13.7815921070415	135.231087562903	"TGFB2;LIN28B;SMAD3;NR3C1;TEAD1"
"46"	"Negative Regulation of miRNA Metabolic Process (GO:2000629)"	"46"	5.62392188519151e-05	0.00172385431698261	0	0	22.3892543859649	219.09891941879	"SMAD3;SOX9;ESR1;NFATC4"
"47"	"Positive Regulation of Signal Transduction (GO:0009967)"	"47"	5.79652873909541e-05	0.00173895862172862	0	0	5.09831673659202	49.7374763652455	"SMOC2;BMP2;TGFB2;ADAMTS3;SALL1;IRS1;ZMIZ1;BOC;GAS1;BMP6"
"48"	"Heterochromatin Formation (GO:0031507)"	"48"	6.05244812019206e-05	0.00177790663530642	0	0	7.76122660555465	75.380623344651	"RYBP;PCGF5;SCMH1;DNMT3A;SMARCA5;HMGA2;EZH2"
"49"	"Negative Regulation of Transforming Growth Factor Beta Production (GO:0071635)"	"49"	6.72322740767458e-05	0.00193464298873901	0	0	50.0857843137255	481.192018376817	"SMAD3;FN1;FBLN1"
"50"	"Heart Morphogenesis (GO:0003007)"	"50"	7.74416021224484e-05	0.00218385317985304	0	0	12.7389728851681	120.586944420403	"ADAMTS5;TGFB2;BMP2;INSR;SOX9"
"51"	"Regulation of Cell Population Proliferation (GO:0042127)"	"51"	8.39856915359875e-05	0.00232195735423024	0	0	3.17614509975133	29.8076901627095	"TGFB2;SMAD3;CDKN2C;IRS1;INSR;NPR3;FN1;POU3F3;BMP6;IGF1R;BMP2;CDK6;BCL6;BAMBI;FGF18;SOX9;EZH2"
"52"	"Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)"	"52"	8.92720877310989e-05	0.0024206469942471	0	0	4.82733020404253	45.009166043586	"SOCS2;MAPKAPK3;IRS1;INSR;FGF18;PIK3CD;GRB2;PTPRG;IGF1R;NFATC4"
